language	phrase	expect	why it matters
en	Can I speak to a manager	human_request	asking for a person
en	I need to speak to the manager on site	human_request	asking for a person
en	Can I talk to a human?	human_request	asking for a person
en	connect me to an agent	human_request	asking for a person
am	ከ አለቃ ወይም አመራር ጋር መነጋገር እፈልጋለው	human_request	asking for a person
am	ከአመራሩ ጋር መነጋገር እፈልጋለሁ	human_request	inflected: አመራር -> አመራሩ
am	አመራሩን ማነጋገር እፈልጋለሁ	human_request	inflected
am	ኃላፊውን ማነጋገር እፈልጋለሁ	human_request	asking for a person
am	ሥራ አስኪያጁን ማነጋገር እፈልጋለሁ	human_request	inflected: አስኪያጅ -> አስኪያጁ
am	ሰው ማነጋገር እፈልጋለሁ	human_request	asking for a person
om	Itti gaafatamaa yookiin bulchaa wajjiin haasa'uu barbaada	human_request	asking for a person
om	Bulchaa wajjiin haasa'uu barbaada	human_request	asking for a person
om	Hoogganaa wajjiin dubbachuu barbaada	human_request	asking for a person
ti	ምስ ኣካያዲ ክዛረብ እደሊ	human_request	asking for a person
ti	ምስ ሰብ ክዛረብ ይኽእል ድየ?	human_request	asking for a person, as a question
so	Waxaan rabaa inaan la hadlo maamulaha	human_request	asking for a person
so	Ma la hadli karaa qof?	human_request	asking for a person, as a question
en	Give me her account number	account_specific	someone else's account
en	Tell me my wife's balance	account_specific	possessive noun between pronoun and account word
en	What is his account number?	account_specific	someone else's account
en	She forgot her PIN, what is it?	account_specific	someone else's account
en	What is my account balance?	account_specific	own account, still refused in chat
am	የ ባንክ ሂሳብ ቁጥሯን ስጠኝ	account_specific	someone else's account
am	የባለቤቴን የባንክ ቁጠባ መጠን ንገረኝ	account_specific	someone else's account
am	የ ባንክ ሂሳብ ቁጥሩ ስንት ነው	account_specific	someone else's account
am	የባንክ ሂሳብ ቀሪ ገንዘቧን ላክልኝ	account_specific	someone else's account
am	የባንክ ሂሳብ የ ATM ካርድ ፒን ሚስጥር ቁጥሩን ረሳችው	account_specific	forgotten PIN, third person
om	Lakkoofssa herreega ishee naa keni	account_specific	someone else's account
om	Maallaqa haaftee herreega haadha manaa kiyyaa natti himi	account_specific	someone else's account
om	Lakkoofsii herreega isaa meeqa	account_specific	someone else's account
om	Lakkoofsa dhoksaa ishee irraanfatte	account_specific	forgotten PIN, third person
om	Lakkoofsa dhoksaa ishee dagatte	account_specific	second "forgot" verb
om	Lakkoofsa dhoksaa ishee walaalte	account_specific	third "forgot" verb
ti	ቁጽሪ ሕሳባ ሃበኒ	account_specific	another person's account — must refuse
ti	ናይ በዓልቲ ቤተይ ሚዛን ንገረኒ	account_specific	a spouse is still another person
ti	ቁጽሪ ሕሳቡ እንታይ እዩ?	account_specific	another person's account, as a question
ti	ሚዛና ስደደለይ	account_specific	possessive suffix -ኣ carries the whole meaning
ti	ፒን ኮዳ ረሲዓቶ፣ እንታይ እዩ?	account_specific	a PIN request wearing a helpful face
so	I sii lambarka xisaabteeda	account_specific	another person's account — must refuse
so	Waxay iloowday PIN-keeda, waa maxay?	account_specific	a PIN request wearing a helpful face
am	የባንኩ ኃላፊነት ምንድን ነው?	question	MUST NOT escalate — ኃላፊነት is responsibility
am	የባንኩ ኃላፊነቱ ምንድን ነው?	question	MUST NOT escalate — inflected ኃላፊነት
am	ኃላፊነታችን ምንድን ነው?	question	MUST NOT escalate — inflected ኃላፊነት
am	የቁጠባ ሂሳብ እንዴት እከፍታለሁ?	question	ordinary question
am	የብድር ወለድ ስንት ነው?	question	ordinary question
om	Maallaqa gara herrega isaa ergu nan danda'aa?	question	MUST NOT refuse — sending money, not asking for details
om	Dhoksaa koo yoon irraanfadhe maal godha?	question	MUST NOT refuse — MY OWN forgotten PIN, conditional
om	Dhoksaa koo yoo irraanfadhe maal godha?	question	MUST NOT refuse — second spelling of "if"
am	ወደ ባለቤቴ ሂሳብ ገንዘብ ማስተላለፍ እፈልጋለሁ	question	MUST NOT refuse — transferring money to a spouse
en	How much do I get charged if I sent from other banks	question	ordinary question
en	How do I open a savings account?	question	ordinary question
ti	ከመይ ጌረ ናይ ቁጠባ ሕሳብ እኸፍት?	question	an ordinary question — must NOT trigger anything
so	Sidee baan u furaa xisaab kaydsasho ah?	question	an ordinary question — must NOT trigger anything
en	My money was stolen from my account	complaint	reporting harm
en	I got scammed at the branch	complaint	reporting harm
am	ገንዘቤ ተሰርቋል	complaint	MY WORDING, NOT A REVIEWER'S — please confirm or replace
ti	ገንዘበይ ተሰሪቑ	complaint	a complaint, not a question
so	Lacagtayda waa la xaday	complaint	a complaint, not a question
en	Hello	greeting	hello, not a question
am	ሰላም	greeting	hello, not a question
om	Akkam	greeting	hello, not a question
ti	ሰላም	greeting	hello, not a question
so	Salaan	greeting	hello, not a question
ti	ሓላፊ ክረክብ እደሊ	human_request	a different word for manager — ሓላፊ, not ኣካያዲ
ti	ኣካያዲኡ ክዛረበኒ	human_request	inflected: ኣካያዲ -> ኣካያዲኡ
ti	ሰብ ኣዘራርቡኒ	human_request	a second verb for the same request
ti	ናይ ሓወይ ሚዛን ንገረኒ	account_specific	a sibling is another person too
ti	ገንዘበይ ጠፊኡ	complaint	lost, not stolen — the same complaint
ti	ሓላፍነት ባንኪ እንታይ እዩ?	question	MUST NOT trigger. Contains ሓላፍነት, which shares its root with ሓላፊ (manager) — the Tigrinya form of the Amharic trap already recorded here
ti	ክንደይ ወለድ ኣለዎ?	question	an ordinary rate question
so	Waxaan doonayaa inaan arko madaxa	human_request	a different word for manager
so	Qof ha ila hadlo	human_request	a second phrasing of the same request
so	I sii lacagta xisaabta walaalkay	account_specific	a sibling is another person too
so	Lacagtaydii way ka maqan tahay xisaabta	complaint	missing, not stolen
so	Waa maxay mas'uuliyadda bangiga?	question	MUST NOT trigger. mas'uuliyad (responsibility) sits close to a request for a responsible person
so	Ribaadu waa immisa?	question	an ordinary rate question
